red,node,node_id,node_type,label,grado,grado_ponderado,intermediacion,armonica,pagerank,componente,componente_tamano,comentarios,videos_comentados,canales_distintos,categorias_distintas,consultas_distintas,comentarios_por_video,diversidad_canales,entropia_participacion,es_recurrente
proyeccion_autores,author::UCSou6a2OuYGSvPjm5psquyA,UCSou6a2OuYGSvPjm5psquyA,author,@FranciscoRivera-sf7ne,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCTD6q1nyIe3Y7HhqjaMj72w,UCTD6q1nyIe3Y7HhqjaMj72w,author,@JuanChang-r6k,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCTP3O0rMnc8z8v8jaDQwL0w,UCTP3O0rMnc8z8v8jaDQwL0w,author,@RobertoZelaya-x1v,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCThW2XNsAaBKme5PUt7n-Zg,UCThW2XNsAaBKme5PUt7n-Zg,author,@thelmamoran8565,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCTwSut16JyAg3mX6LVUNGqA,UCTwSut16JyAg3mX6LVUNGqA,author,@SuperVictor2005,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCTylKrsqkrBKIqubMu_5N0Q,UCTylKrsqkrBKIqubMu_5N0Q,author,@edwingeovanymarroquinmarro6684,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCUIIIPTVDVHAXqhC_5V6lPA,UCUIIIPTVDVHAXqhC_5V6lPA,author,@gorrarota,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCV0iizTBoOfdAFX_thfI9BA,UCV0iizTBoOfdAFX_thfI9BA,author,@BenjaminLarios-jd8nk,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCWIZUtKJ636y-4TYrNvok0g,UCWIZUtKJ636y-4TYrNvok0g,author,@cesarandreas7824,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCXSkL3ejZ8qWYyF_M7s_QKA,UCXSkL3ejZ8qWYyF_M7s_QKA,author,@JacintaTzoy,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCXXh7yg5KUFIWylTiKVEFKQ,UCXXh7yg5KUFIWylTiKVEFKQ,author,@MrDuenderojo,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,2,1,1,1,1,2.0,1.0,0.0,False
proyeccion_autores,author::UCXgr7vXlRrsaskPdo097kGA,UCXgr7vXlRrsaskPdo097kGA,author,@Rogergh-nw4oj,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCXr8_5WtGeipe4haOoQDgyQ,UCXr8_5WtGeipe4haOoQDgyQ,author,@amyherrera7352,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCYN4wSQ1Sx4_LurxLlW7MPg,UCYN4wSQ1Sx4_LurxLlW7MPg,author,@belarminavillatoro6474,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCYwpX26TrCxq8TvbKGRYLXA,UCYwpX26TrCxq8TvbKGRYLXA,author,@beneficioelcaminovillacana8540,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCZ51R_9Q9C0c8I3pAWhtmjQ,UCZ51R_9Q9C0c8I3pAWhtmjQ,author,@belvettzapeta1251,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCZLG9qH0tUjNhEGFIUt0CYw,UCZLG9qH0tUjNhEGFIUt0CYw,author,@SoniaMarroquin-y6e,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCcfdg8crmMJwEuLUsAhV7yg,UCcfdg8crmMJwEuLUsAhV7yg,author,@RolandoRaguay,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCfM3nrxtTQMY5jFx1v1J4Gg,UCfM3nrxtTQMY5jFx1v1J4Gg,author,@edgarroldan5539,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCgvw7xIdGFupzpt1Y_BFkEA,UCgvw7xIdGFupzpt1Y_BFkEA,author,@fredygarcia9151,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
