node,node_id,node_type,bipartite,label,channel_id,channel_name,category,view_count,comments_total,author_handle,videos_count
video::FU5zLTb4inc,FU5zLTb4inc,video,1,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,News & Politics,549.0,0,,
video::Fapc1-8m5Zc,Fapc1-8m5Zc,video,1,Municipalidad de Guatemala 21/11/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,282.0,0,,
video::Fb2Ccfq5S9w,Fb2Ccfq5S9w,video,1,Reo y su esposa fueron asesinados dentro del Preventivo de zona 18,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,15431.0,0,,
video::FuTz67jS7m0,FuTz67jS7m0,video,1,124 nuevos brigadas refuerzan la seguridad vial en Guatemala,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,Education,45.0,0,,
video::G2u4Rbq7zU4,G2u4Rbq7zU4,video,1,Arévalo anuncia nueva cárcel de máxima seguridad en Guatemala,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,6327.0,0,,
video::GgU7qhmf020,GgU7qhmf020,video,1,Sueños GT: educación para la niñez de vendedores ambulantes en Antigua | Super - Episodio 1,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Nonprofits & Activism,167.0,0,,
video::GjGMSFSE1gY,GjGMSFSE1gY,video,1,"“Gracias a dios, no hay reelección” 🤡",UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,130.0,0,,
video::HMJXf1VdM5E,HMJXf1VdM5E,video,1,Lluvia inusual de Martes Santo provoca inundaciones en zona 1 de Villa Nueva,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,1688.0,0,,
video::H_TGv_cMwww,H_TGv_cMwww,video,1,PMT: La fuerza laboral reguladora del tránsito más grande,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,2383.0,0,,
video::I277M6i4jnY,I277M6i4jnY,video,1,Gestión del Riesgo de Desastres desde las comunidades.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,242.0,0,,
