red,node,node_id,node_type,label,grado,grado_ponderado,intermediacion,armonica,pagerank,componente,componente_tamano,channel_name,category,comentarios,autores_unicos,autores_compartidos,proporcion_audiencia_compartida,videos_conectados,canales_conectados,categorias_conectadas,view_count
proyeccion_videos,video::9Jacxvi9umU,9Jacxvi9umU,video,Los responsables de bloquear información en Guatecompras,0,0.0,0.0,0.0,0.0028620758795720952,51,1,Somos El Combo,Entertainment,0,0,0,0.0,0,0,0,7340
proyeccion_videos,video::9XFVeHiWDTo,9XFVeHiWDTo,video,En #LaRondaGT conoce las acciones que impulsamos para modernizar los puertos y aeropuertos del país.,0,0.0,0.0,0.0,0.0028620758795720952,52,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,1516
proyeccion_videos,video::9h7d1iDFaqo,9h7d1iDFaqo,video,Vuelve el tráfico lento en la ciudad capital,0,0.0,0.0,0.0,0.0028620758795720952,53,1,PrensaLibreOficial,News & Politics,0,0,0,0.0,0,0,0,11396
proyeccion_videos,video::9wHujSu-nbQ,9wHujSu-nbQ,video,Quorum,0,0.0,0.0,0.0,0.0028620758795720952,54,1,Quorum,News & Politics,0,0,0,0.0,0,0,0,459
proyeccion_videos,video::AHzfpOL5sgw,AHzfpOL5sgw,video,Sistema de gobierno de Guatemala 🇬🇹,0,0.0,0.0,0.0,0.0028620758795720952,55,1,SUM Estudios Jurídicos.,Education,0,0,0,0.0,0,0,0,2895
proyeccion_videos,video::Aa7hIDCRh3g,Aa7hIDCRh3g,video,Este BUS me LLEVO a UN PARAISO EN GUATEMALA,0,0.0,0.0,0.0,0.0028620758795720952,56,1,De todo Gt,People & Blogs,0,0,0,0.0,0,0,0,504374
proyeccion_videos,video::AakUTlieyH0,AakUTlieyH0,video,Crisis de seguridad en Guatemala,0,0.0,0.0,0.0,0.0028620758795720952,57,1,Canal Antigua,News & Politics,0,0,0,0.0,0,0,0,733
proyeccion_videos,video::Ab0RrbzxyBU,Ab0RrbzxyBU,video,Municipalidad de Guatemala 17/11/2025,0,0.0,0.0,0.0,0.0028620758795720952,58,1,Concejales de Oposición - Muni Guate,People & Blogs,0,0,0,0.0,0,0,0,117
proyeccion_videos,video::AlbPEU3rbZs,AlbPEU3rbZs,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,0,0.0,0.0,0.0,0.0028620758795720952,59,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,870
proyeccion_videos,video::ArljwpsURdY,ArljwpsURdY,video,"Entrevista especial con Claudinne Ogaldes, Secretaria Ejecutiva de la SE-CONRED",0,0.0,0.0,0.0,0.0028620758795720952,60,1,Conred,Education,0,0,0,0.0,0,0,0,416
proyeccion_videos,video::B60bWqpVUIE,B60bWqpVUIE,video,Así es el transporte público en Ciudad de Guatemala,0,0.0,0.0,0.0,0.0028620758795720952,61,1,PaulinoG,Travel & Events,0,0,0,0.0,0,0,0,96794
proyeccion_videos,video::BLc_KXPng9g,BLc_KXPng9g,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,0,0.0,0.0,0.0,0.0028620758795720952,62,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,720
proyeccion_videos,video::BUNeDEi0yVU,BUNeDEi0yVU,video,CIV LICITACIÓN 800 KM 110717,0,0.0,0.0,0.0,0.0028620758795720952,63,1,CIV -Ministerio de Comunicaciones,People & Blogs,0,0,0,0.0,0,0,0,26
proyeccion_videos,video::BW41jT3t3oI,BW41jT3t3oI,video,Provial,0,0.0,0.0,0.0,0.0028620758795720952,64,1,PROVIAL-CIV,People & Blogs,0,0,0,0.0,0,0,0,79
proyeccion_videos,video::BbAeamItalk,BbAeamItalk,video,ZARAGOZA DA UN PASO HACIA EL FORTALECIMIENTO DEL DEPORTE CON NUEVA CIUDAD DEPORTIVA,0,0.0,0.0,0.0,0.0028620758795720952,65,1,IDocumenta,News & Politics,0,0,0,0.0,0,0,0,7
proyeccion_videos,video::Bdn2nxDqQ90,Bdn2nxDqQ90,video,Video Viral de PMT / GUATEMALA,0,0.0,0.0,0.0,0.0028620758795720952,66,1,carlos del cid,Film & Animation,0,0,0,0.0,0,0,0,2482
proyeccion_videos,video::Bi34XvRV6AM,Bi34XvRV6AM,video,Plan de Evacuación CONRED,0,0.0,0.0,0.0,0.0028620758795720952,67,1,MESCOGT,People & Blogs,0,0,0,0.0,0,0,0,58
proyeccion_videos,video::BnZFUzpEDe4,BnZFUzpEDe4,video,Municipalidad de Guatemala se moderniza,0,0.0,0.0,0.0,0.0028620758795720952,68,1,Municipalidad de Guatemala,People & Blogs,0,0,0,0.0,0,0,0,642
